t[s],y[m],Smoothened v[m/s],Smoothened a[m/s^2]
0.09166666667,0.2123128911,2.679825952,4.008679825
0.09583333333,0.2229724837,2.697412182,3.809816653
0.1,0.2346071254,2.691903964,3.719447994
0.1041666667,0.2460289043,2.715065987,3.474928185
0.1083333333,0.2573288816,2.730523028,3.331845686
0.1125,0.2689466358,2.747311192,3.206024828
0.1166666667,0.2811309585,2.756372609,3.15786853
0.1208333333,0.2925696136,2.761390396,2.972848439
0.125,0.3039997291,2.775152506,3.294215255
0.1291666667,0.3157717003,2.786385514,3.107349711
0.1333333333,0.3278837783,2.807094098,3.042891057
0.1375,0.3395280178,2.822497788,2.906586359
0.1416666667,0.35053844,2.842674174,2.832890165
0.1458333333,0.3627827364,2.85259954,3.146656425
0.15,0.3745838085,2.862776097,2.939340535
0.1541666667,0.3869678225,2.878900706,2.926904547
0.1583333333,0.398582413,2.890350521,2.75388618
0.1625,0.4102266681,2.895602077,2.782844114
0.1666666667,0.4222609507,2.911518314,2.695213921
0.1708333333,0.4345106697,2.922222634,2.686605185
0.175,0.4468603066,2.933382432,2.628269536
0.1791666667,0.4592814475,2.941083616,2.573540797
0.1833333333,0.471706474,2.945231953,2.633353995
0.1875,0.4842095851,2.971167491,2.610313729
0.1916666667,0.4965218127,2.971108542,2.417159404
0.1958333333,0.5092326934,2.981512483,2.404234319
0.2,0.5218523064,2.99068651,2.220807191
0.2041666667,0.5344961403,3.008020729,2.281707883
0.2083333333,0.5473274661,3.022355102,2.309856067
0.2125,0.5596942096,3.031706552,1.894318165
0.2166666667,0.5724426631,3.037994066,2.010053965
0.2208333333,0.5852285947,3.050470093,2.047645983
0.225,0.5972358137,3.065907454,2.020014649
0.2291666667,0.6105155955,3.069622993,1.929283309
0.2333333333,0.6227547338,3.072662275,1.734725686
0.2375,0.6354661508,3.082504922,1.833112494
0.2416666667,0.6486528921,3.081436244,1.841892051
0.2458333333,0.6617842267,3.093197475,1.702967356
0.25,0.6746827396,3.099222357,1.600449791
0.2541666667,0.687535274,3.097455369,1.587929253
0.2583333333,0.7003351505,3.105112139,1.668939469
0.2625,0.7137764397,3.118022216,1.650281584
0.2666666667,0.7275483498,3.125354153,1.654776418
0.2708333333,0.7402984858,3.136639616,1.354403333
0.275,0.7530675341,3.138003481,1.505884132
0.2791666667,0.7662409934,3.153914052,1.614991491
0.2833333333,0.7788583647,3.160786869,1.584097904
0.2875,0.7925070854,3.16400125,1.551201649
0.2916666667,0.8056780966,3.172604107,1.364068288
0.2958333333,0.8183548109,3.175484943,1.32649514
0.3,0.8313915218,3.183924906,1.566988573
0.3041666667,0.8452696069,3.192523694,1.336346983
0.3083333333,0.8586970831,3.191754672,1.273398527
0.3125,0.8716917801,3.18349103,1.24166069
0.3166666667,0.8850909001,3.199614633,1.300095721
0.3208333333,0.8987222134,3.205121468,1.361035253
0.325,0.9120350019,3.210718666,1.244426717
0.3291666667,0.9255030015,3.221435659,1.213149247
0.3333333333,0.9393870861,3.216292039,1.225764203
0.3375,0.9525376721,3.225072625,1.280457317
0.3416666667,0.9661287033,3.242469386,1.188956563
0.3458333333,0.9796809738,3.243003851,1.094372
0.35,0.9930549735,3.245680104,1.084556615
0.3541666667,1.006103815,3.246778629,0.9993136028
0.3583333333,1.020264766,3.259277155,1.239428263
0.3625,1.033515663,3.266220626,1.005749568
0.3666666667,1.047178877,3.266886687,0.9106431839
0.3708333333,1.060733985,3.273400311,0.9035947834
0.375,1.073932639,3.273472286,0.77558024
0.3791666667,1.087871951,3.268854851,1.023038649
0.3833333333,1.102070882,3.278878404,0.701337028
0.3875,1.115154359,3.278079602,0.5661794207
0.3916666667,1.129266616,3.283022441,0.7011236182
0.3958333333,1.142790213,3.288056566,0.5696827386
0.4,1.156878531,3.29892059,0.6384523416
0.4041666667,1.170885205,3.292122597,0.5825556475
0.4083333333,1.184574798,3.303178932,0.4799806291
0.4125,1.198457529,3.303243503,0.4652452235
0.4166666667,1.211931826,3.297385454,0.51669925
0.4208333333,1.225411886,3.314981206,0.4487594268
0.425,1.239439532,3.306032957,0.4882157147
0.4291666667,1.252960668,3.303965921,0.4988112792
0.4333333333,1.266945437,3.313628262,0.408664434
0.4375,1.280759923,3.31137916,0.3731491039
0.4416666667,1.294759366,3.316035775,0.5691043452
0.4458333333,1.308325493,3.307691894,0.2732582874
0.45,1.322543819,3.310877112,0.4703501768
0.4541666667,1.336212683,3.30909595,0.4436995469
0.4583333333,1.349255212,3.317469057,0.5020360672
0.4625,1.363993494,3.317973861,0.6324478961
0.4666666667,1.377149835,3.331468304,0.3370618357
0.4708333333,1.3911679,3.325376682,0.5959604061
0.475,1.405096832,3.330423228,0.4977302286
0.4791666667,1.419012293,3.32812011,0.6103571883
0.4833333333,1.432943343,3.335325744,0.3249555232
0.4875,1.446301572,3.333198425,0.3980206146
0.4916666667,1.460586952,3.337389635,0.2367770662
0.4958333333,1.474120694,3.333545891,0.3513155007
0.5,1.488736072,3.347097333,0.3290639896
0.5041666667,1.502254539,3.353542353,0.1290639814
0.5083333333,1.516915362,3.338506564,0.1377315358
0.5125,1.530409992,3.347422588,-0.05386767656
0.5166666667,1.544372701,3.344059128,0.07568678888
0.5208333333,1.558155947,3.349786429,0.04678036377
0.525,1.572600926,3.339132759,-0.01661168097
0.5291666667,1.586414229,3.344508568,-0.303159989
0.5333333333,1.600347087,3.347253442,0.04489285883
0.5375,1.614229085,3.348797715,-0.1505617223
0.5416666667,1.6290837,3.352360827,0.04211226759
0.5458333333,1.642690168,3.336724375,-0.2816452712
0.55,1.656112819,3.344507846,0.1037996051
0.5541666667,1.670049311,3.329607246,0.1241576574
0.5583333333,1.683773074,3.342435421,0.08266462106
0.5625,1.698203144,3.336664582,0.06687015024
0.5666666667,1.711186409,3.345989887,0.02542817055
0.5708333333,1.725587843,3.333331687,0.4725579823